key,energy,liveliness,tempo,speechiness,acousticness,instrumentalness,time_signature,duration,loudness,valence,danceability,mode,time_signature_confidence,tempo_confidence,key_confidence,mode_confidence,genres
3.0,0.705822,0.053292,126.009,0.126016,0.001966,0.0,0.0,4.0,194.09333,-3.898,0.5927979999999999,0.8751369999999999,0.004,0.114,1.0,0.742,dance
0.0,0.6164109999999999,0.171423,130.009,0.059577,0.058935999999999995,6.500000000000001e-05,1.0,4.0,284.41333,-7.443,0.47611099999999995,0.78976,0.499,0.489,0.708,1.0,dance
7.0,0.728367,0.8448100000000001,112.328,0.307629,0.00975,2.2000000000000003e-05,1.0,4.0,207.15057,-14.511,0.652412,0.691151,0.844,0.384,1.0,1.0,dance
11.0,0.687771,0.890427,118.388,0.06961099999999999,0.031730999999999995,0.000222,1.0,4.0,357.8,-9.815,0.7819119999999999,0.771293,0.851,0.534,0.8150000000000001,1.0,dance
6.0,0.650609,0.061544999999999996,122.677,0.066457,0.038270000000000005,3.0000000000000004e-05,0.0,4.0,267.16,-6.094,0.552483,0.8446300000000001,0.55,0.55,0.766,1.0,dance
11.0,0.8075859999999999,0.119695,133.321,0.097332,0.003097,0.00012000000000000002,0.0,4.0,255.0,-5.47,0.8279259999999999,0.857744,0.583,0.497,0.901,1.0,dance
0.0,0.882357,0.193733,127.98,0.032211,0.0205,0.0,1.0,4.0,232.61556,-2.574,0.522815,0.6229709999999999,0.547,0.547,0.8140000000000001,0.967,dance
1.0,0.607262,0.08613599999999999,121.974,0.131607,0.008222,0.0006100000000000001,1.0,4.0,256.2,-9.926,0.518173,0.507898,0.293,0.423,0.132,1.0,dance
5.0,0.793863,0.075887,127.0,0.039777,0.00023899999999999998,0.190515,0.0,4.0,438.42476,-4.698,0.11486199999999999,0.6536569999999999,0.717,0.645,0.919,1.0,dance
8.0,0.850891,0.051108,114.13,0.04684000000000001,0.007979,0.177336,1.0,4.0,247.69333,-5.47,0.351251,0.805492,0.034,0.258,0.92,1.0,dance
5.0,0.9208139999999999,0.30482699999999996,108.002,0.058142,0.15319000000000002,0.002127,0.0,4.0,239.22667,-2.383,0.807646,0.831379,0.241,0.47200000000000003,0.936,1.0,dance
11.0,0.444824,0.101771,138.048,0.066009,0.5147539999999999,4.9999999999999996e-06,0.0,4.0,222.06667,-6.154,0.7817189999999999,0.8799969999999999,0.8200000000000001,0.708,0.638,0.892,dance
3.0,0.8393309999999999,0.32298499999999997,125.125,0.36049699999999996,0.007369,0.0,1.0,4.0,216.7771,-8.078,0.698025,0.590919,0.024,0.203,0.068,1.0,dance
8.0,0.58184,0.07976000000000001,128.067,0.098754,0.004038,8.800000000000001e-05,1.0,4.0,339.38667,-3.9779999999999998,0.083594,0.729426,0.227,0.313,0.67,0.788,dance
10.0,0.814341,0.095743,119.87,0.037672,0.016109,8.900000000000001e-05,1.0,4.0,213.0,-5.801,0.210116,0.6610889999999999,0.292,0.228,0.187,0.988,dance
10.0,0.827857,0.181826,103.569,0.034803,0.027247,0.006157999999999999,0.0,4.0,283.14667,-7.276,0.9427829999999999,0.702418,0.584,0.624,0.982,1.0,dance
11.0,0.391964,0.049845999999999994,128.096,0.19944199999999998,0.238361,0.139866,0.0,4.0,203.51955,-15.337,0.5980289999999999,0.724142,0.23800000000000002,0.48,0.926,0.993,dance
9.0,0.9148529999999999,0.7392839999999999,100.786,0.044272,0.43935,0.001341,1.0,4.0,230.86667,-4.953,0.771048,0.537848,0.672,0.652,0.717,1.0,dance
10.0,0.7549779999999999,0.068393,108.029,0.157726,0.018375,6e-06,0.0,4.0,269.13796,-4.143,0.87336,0.811848,0.223,0.383,0.482,1.0,dance
11.0,0.6142909999999999,0.10937699999999999,94.007,0.034212,0.059670999999999995,4.8e-05,0.0,4.0,264.29333,-7.068,0.8253889999999999,0.683377,0.739,0.686,0.711,1.0,dance
11.0,0.9437249999999999,0.09075899999999999,141.444,0.09607399999999999,0.003512,0.425035,1.0,4.0,280.54667,-5.099,0.373037,0.43542699999999995,0.771,0.626,0.388,1.0,dance
1.0,0.743946,0.316257,122.968,0.033402,0.027260999999999997,0.0,1.0,4.0,240.74998,-4.464,0.8973800000000001,0.842704,0.685,0.718,0.979,0.937,dance
1.0,0.790508,0.668279,89.983,0.06532099999999999,0.0032679999999999996,2e-05,1.0,4.0,219.86667,-5.115,0.225573,0.290941,0.627,0.55,0.063,1.0,dance
7.0,0.677335,0.12116,95.93,0.321129,0.15082099999999998,0.0,1.0,4.0,242.13769,-4.311,0.558315,0.844792,0.315,0.562,0.496,1.0,dance
10.0,0.873821,0.191901,124.982,0.043594,0.048237999999999996,0.073049,0.0,4.0,157.48444,-2.354,0.738173,0.915581,0.42,0.513,0.933,1.0,dance
0.0,0.714931,0.08931399999999999,113.044,0.09730599999999999,0.09006199999999999,0.0,1.0,4.0,209.32,-5.749,0.8416929999999999,0.755373,0.048,0.289,0.672,0.097,dance
1.0,0.8596800000000001,0.205867,126.032,0.034964999999999996,0.080888,0.867131,0.0,4.0,201.30399,-7.121,0.49305699999999997,0.603445,0.124,0.399,0.9500000000000001,0.773,dance
1.0,0.714913,0.052027,120.755,0.072919,0.147875,0.006821,1.0,4.0,298.38667,-7.402,0.8672179999999999,0.875914,0.555,0.847,0.873,0.997,dance
9.0,0.655933,0.44590599999999997,138.963,0.041638,0.08136299999999999,0.564869,1.0,4.0,243.61751,-17.363,0.7128,0.752108,0.07,0.322,0.801,0.0,dance
9.0,0.9327139999999999,0.547392,143.957,0.051659,3.7000000000000005e-05,0.002301,0.0,4.0,256.41333,-4.288,0.35390099999999997,0.489743,0.649,0.537,0.334,1.0,dance
9.0,0.576684,0.08719199999999999,129.998,0.15690199999999999,0.133688,0.05954,0.0,4.0,191.15537,-4.886,0.44537099999999996,0.8574309999999999,0.341,0.435,0.746,1.0,dance
8.0,0.618468,0.191773,127.997,0.067642,5.8e-05,0.013030000000000002,1.0,4.0,195.00059,-9.645,0.37433099999999997,0.54688,0.523,0.452,0.6990000000000001,0.265,dance
